Date,Transaction,Name,Memo,Amount
7/11/2013,DEBIT,ANNUAL MEMBERSHIP FEE,00000;,-0.00
7/17/2013,DEBIT,CHEVRON 00301931 SALT LAKE,24046033197000167122654; 05542;,-54.60
7/29/2013,DEBIT,WAL-MART #3208 SPRINGVIL,24455013208142002078171; 05411;,-2.76
7/30/2013,DEBIT,WAL-MART #3208 SPRINGVIL,24455013210142001906634; 05411;,-10.29
7/31/2013,DEBIT,PILOT Springvil,24628013211000125865352; 05542;,-45.00
7/31/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,67.65
8/1/2013,DEBIT,PILOT 00007476 SPRINGVIL,24164073212258009000081; 05541;,-1.78
8/1/2013,DEBIT,SMITHS FOOD #4136 PROVO,24445003212300141908025; 05411;,-12.95
8/7/2013,DEBIT,WWW.MOTHERHOOD10000016 215-87322,24164073218495008574666; 05621;,-115.90
8/9/2013,DEBIT,HARMONS - OREM OREM,24427333220720019848248; 05411;,-19.50
8/12/2013,DEBIT,PILOT Springvil,24628013222000154018540; 05542;,-52.15
8/12/2013,DEBIT,TARGET 00017541 OREM,24164073222091007225592; 05411;,-31.51
8/14/2013,DEBIT,GAP ONLINE 800-GAPST,24418003225225040477509; 05964;,-105.22
8/14/2013,DEBIT,GAP #8405/THE OREM,24789303225225065029206; 05999;,-87.30
8/15/2013,DEBIT,GAP ONLINE 800-GAPST,24418003226226038606108; 05964;,-38.12
8/21/2013,DEBIT,GAP ONLINE 800-GAPST,24418003232232041872309; 05964;,-64.04
8/22/2013,DEBIT,MOTHERHOOD 00004655 OREM,24399003233495046501213; 05621;,-72.09
8/22/2013,DEBIT,SMITHS FOOD #4136 PROVO,24445003233300138890652; 05411;,-9.86
8/23/2013,CREDIT,GAP ONLINE 505-46200,74789303234234041355408; 05964;,17.34
8/23/2013,CREDIT,GAP ONLINE 505-46200,74789303234234041355507; 05964;,29.75
8/23/2013,CREDIT,GAP #8405/THE OREM,74789303234234064616702; 05999;,52.31
8/23/2013,DEBIT,GAP #8405/THE OREM,24789303234234064616806; 05999;,-91.90
8/23/2013,DEBIT,FINISH LINE #0622 OREM,24445003234100122686515; 05661;,-53.38
8/23/2013,DEBIT,PILOT Springvil,24628013234000202365717; 05542;,-33.13
8/26/2013,CREDIT,GAP ONLINE 505-46200,74789303235235043058501; 05964;,20.78
8/26/2013,DEBIT,JOANN FABRIC #1756 OREM,24072803237456005074041; 05949;,-17.32
8/28/2013,DEBIT,EINSTEIN BROS BAGELS07 PROVO,24431053239200288400879; 05812;,-20.35
8/29/2013,DEBIT,YG SUNGLASSES OREM,24493983241200000497582; 05999;,-32.00
8/30/2013,CREDIT,GAP ONLINE 505-46200,74789303241241041424606; 05964;,64.04
8/30/2013,DEBIT,HARMONS - OREM OREM,24427333241720020080125; 05411;,-10.83
8/30/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,50.00
9/3/2013,DEBIT,GAP ONLINE 505-46200,24789303245245202521408; 05964;,-72.78
9/3/2013,DEBIT,WAL-MART #3208 SPRINGVIL,24455013243142002128551; 05411;,-11.60
9/3/2013,DEBIT,FRESH MKT EXP SF SSS SPANISH F,24427333244710029920659; 05542;,-50.23
9/3/2013,DEBIT,OLD NAVY #5694 OREM,24789303244245136170307; 05999;,-26.84
9/3/2013,DEBIT,TARGET 00017541 OREM,24164073244091008001442; 05411;,-26.15
9/6/2013,CREDIT,MOBILE PAYMENT THANK YOU,*M0000; 00000;,100.00
